Gene	# disorder	gene size	disorder / size
>2L52.1a_gene=WBGene00007063	99	428	0.231308411214953
>2L52.1b_gene=WBGene00007063	85	221	0.384615384615385
>2RSSE.1a_gene=WBGene00007064	54	344	0.156976744186047
>2RSSE.1b_gene=WBGene00007064	167	479	0.348643006263048
>2RSSE.1c_gene=WBGene00007064	3	259	0.0115830115830116
>3R5.1a_gene=WBGene00007065	32	216	0.148148148148148
>3R5.1b_gene=WBGene00007065	32	212	0.150943396226415
>4R79.1a_gene=WBGene00003525	17	345	0.0492753623188406
>4R79.1b_gene=WBGene00003525	17	181	0.0939226519337017
>4R79.2a_gene=WBGene00007067	15	396	0.0378787878787879
>4R79.2b_gene=WBGene00007067	5	312	0.016025641025641
>AC3.1a_gene=WBGene00005532	0	356	0
>AC3.1b_gene=WBGene00005532	0	347	0
>AC3.2_gene=WBGene00007070	8	526	0.0152091254752852
>AC3.3_gene=WBGene00000024	0	426	0
>AC3.4_gene=WBGene00004098	0	426	0
>AC3.5a_gene=WBGene00007071	195	1091	0.178735105407883
>AC3.5b_gene=WBGene00007071	165	984	0.167682926829268
>AC3.6_gene=WBGene00000724	216	326	0.662576687116564
>AC3.7_gene=WBGene00007072	0	530	0
>AC3.8_gene=WBGene00007073	0	532	0
>AC3.10_gene=WBGene00004964	13	352	0.0369318181818182
>AC3.12_gene=WBGene00077503	0	95	0
>AC7.1a_gene=WBGene00006428	2	401	0.00498753117206983
>AC7.1b_gene=WBGene00006428	2	386	0.00518134715025907
>AC7.2a_gene=WBGene00004929	49	560	0.0875
>AC7.2b_gene=WBGene00004929	22	559	0.0393559928443649
>AC7.2c_gene=WBGene00004929	109	632	0.17246835443038
>AC7.2d_gene=WBGene00004929	36	550	0.0654545454545455
>AC7.3_gene=WBGene00014997	50	237	0.210970464135021
>AC8.3_gene=WBGene00007075	24	375	0.064
>AC8.4_gene=WBGene00007076	193	218	0.885321100917431
>AC8.10_gene=WBGene00043988	38	450	0.0844444444444444
>AC8.11_gene=WBGene00043989	193	218	0.885321100917431
>AH6.1_gene=WBGene00001528	60	1138	0.0527240773286467
>AH6.2_gene=WBGene00007080	8	330	0.0242424242424242
>AH6.3_gene=WBGene00007081	205	231	0.887445887445887
>AH6.4_gene=WBGene00005027	0	332	0
>AH6.5_gene=WBGene00003231	304	468	0.64957264957265
>AH6.6_gene=WBGene00005028	0	330	0
>AH6.7_gene=WBGene00005029	0	330	0
>AH6.8_gene=WBGene00005030	0	330	0
>AH6.10_gene=WBGene00005032	5	330	0.0151515151515152
>AH6.11_gene=WBGene00005033	0	330	0
>AH6.12_gene=WBGene00005034	0	330	0
>AH6.14_gene=WBGene00005035	0	332	0
>AH6.17_gene=WBGene00219290	2	62	0.032258064516129
>AH9.1_gene=WBGene00014998	9	412	0.0218446601941748
>AH9.2_gene=WBGene00000797	0	299	0
>AH9.3_gene=WBGene00014999	164	255	0.643137254901961
>AH9.4_gene=WBGene00015000	12	365	0.0328767123287671
>AH9.6_gene=WBGene00044701	0	292	0
>AH10.1_gene=WBGene00007082	41	567	0.072310405643739
>AH10.2_gene=WBGene00007083	2	246	0.00813008130081301
>AH10.4_gene=WBGene00007085	0	73	0
>B0001.1a_gene=WBGene00003010	7	272	0.0257352941176471
>B0001.1b_gene=WBGene00003010	0	166	0
>B0001.1c_gene=WBGene00003010	2	71	0.028169014084507
>B0001.2_gene=WBGene00007087	135	927	0.145631067961165
>B0001.3a_gene=WBGene00007088	232	592	0.391891891891892
>B0001.3b_gene=WBGene00007088	236	576	0.409722222222222
>B0001.3c_gene=WBGene00007088	236	575	0.410434782608696
>B0001.4a_gene=WBGene00007089	10	249	0.0401606425702811
>B0001.4c_gene=WBGene00007089	0	223	0
>B0001.5_gene=WBGene00007090	197	554	0.355595667870036
>B0001.6_gene=WBGene00007091	303	675	0.448888888888889
>B0001.7a_gene=WBGene00007092	101	732	0.137978142076503
>B0001.7b_gene=WBGene00007092	112	736	0.152173913043478
>B0001.7c_gene=WBGene00007092	31	122	0.254098360655738
>B0001.8a_gene=WBGene00007093	316	491	0.643584521384929
>B0001.8b_gene=WBGene00007093	316	493	0.640973630831643
>B0001.8c_gene=WBGene00007093	30	72	0.416666666666667
>B0001.8d_gene=WBGene00007093	175	310	0.564516129032258
>B0019.1_gene=WBGene00000138	192	725	0.264827586206897
>B0019.2_gene=WBGene00007094	257	748	0.343582887700535
>B0024.1_gene=WBGene00000722	216	298	0.724832214765101
>B0024.2_gene=WBGene00000723	222	298	0.74496644295302
>B0024.3_gene=WBGene00007096	8	255	0.0313725490196078
>B0024.4_gene=WBGene00007097	15	391	0.0383631713554987
>B0024.6a_gene=WBGene00001533	38	1083	0.0350877192982456
>B0024.6b_gene=WBGene00001533	38	1087	0.0349586016559338
>B0024.8a_gene=WBGene00000491	259	1283	0.201870615744349
>B0024.8b_gene=WBGene00000491	200	691	0.289435600578871
>B0024.8c_gene=WBGene00000491	109	602	0.181063122923588
>B0024.8d_gene=WBGene00000491	62	600	0.103333333333333
>B0024.9a_gene=WBGene00007099	0	146	0
>B0024.9b_gene=WBGene00007099	0	120	0
>B0024.10_gene=WBGene00007100	194	574	0.337979094076655
>B0024.11_gene=WBGene00007101	55	578	0.0951557093425606
>B0024.12_gene=WBGene00001646	0	166	0
