Gene	# disorder	gene size	disorder / size
>lcl|NC_000913.3_cds_NP_415775.4_1259	60	61	0.983606557
>lcl|NC_000913.3_cds_NP_415525.2_999	58	59	0.983050847
>lcl|NC_000913.3_cds_NP_418158.1_3687	47	48	0.979166667
>lcl|NC_000913.3_cds_NP_415997.1_1492	46	47	0.978723404
>lcl|NC_000913.3_cds_YP_009518827.1_3759	34	35	0.971428571
>lcl|NC_000913.3_cds_NP_415747.2_1230	30	31	0.967741935
>lcl|NC_000913.3_cds_NP_418302.1_3832	165	171	0.964912281
>lcl|NC_000913.3_cds_1386	17	18	0.944444444
>lcl|NC_000913.3_cds_NP_416522.1_2033	17	18	0.944444444
>lcl|NC_000913.3_cds_YP_009518792.1_1587	47	51	0.921568627
>lcl|NC_000913.3_cds_YP_003933616.1_4196	17	19	0.894736842
>lcl|NC_000913.3_cds_YP_009518826.1_3686	25	28	0.892857143
>lcl|NC_000913.3_cds_NP_414923.1_388	58	65	0.892307692
>lcl|NC_000913.3_cds_NP_417905.1_3425	130	148	0.878378378
>lcl|NC_000913.3_cds_YP_009518775.1_1352	51	59	0.86440678
>lcl|NC_000913.3_cds_NP_417847.1_3366	368	430	0.855813953
>lcl|NC_000913.3_cds_NP_418368.1_3899	267	321	0.831775701
>lcl|NC_000913.3_cds_NP_415274.1_744	106	128	0.828125
>lcl|NC_000913.3_cds_NP_416114.2_1617	86	104	0.826923077
>lcl|NC_000913.3_cds_NP_415589.1_1061	81	99	0.818181818
>lcl|NC_000913.3_cds_NP_415607.1_1079	48	59	0.813559322
>lcl|NC_000913.3_cds_YP_009518737.1_104	13	16	0.8125
>lcl|NC_000913.3_cds_YP_588450.2_1277	46	57	0.807017544
>lcl|NC_000913.3_cds_NP_417001.1_2519	145	181	0.801104972
>lcl|NC_000913.3_cds_YP_026277.1_3880	133	168	0.791666667
>lcl|NC_000913.3_cds_NP_418627.4_4162	168	214	0.785046729
>lcl|NC_000913.3_cds_NP_416257.1_1764	125	163	0.766871166
>lcl|NC_000913.3_cds_YP_026281.1_4047	85	111	0.765765766
>lcl|NC_000913.3_cds_NP_418447.1_3976	69	92	0.75
>lcl|NC_000913.3_cds_NP_415937.1_1432	40	57	0.701754386
>lcl|NC_000913.3_cds_NP_415768.1_1252	168	241	0.697095436
>lcl|NC_000913.3_cds_NP_416453.1_1965	261	377	0.692307692
>lcl|NC_000913.3_cds_NP_416232.3_1738	46	67	0.686567164
>lcl|NC_000913.3_cds_NP_415560.1_1033	102	153	0.666666667
>lcl|NC_000913.3_cds_NP_414956.1_421	54	82	0.658536585
>lcl|NC_000913.3_cds_NP_415735.1_1218	51	78	0.653846154
>lcl|NC_000913.3_cds_NP_416084.1_1586	73	112	0.651785714
>lcl|NC_000913.3_cds_NP_416817.2_2331	143	222	0.644144144
>lcl|NC_000913.3_cds_NP_417415.1_2934	46	73	0.630136986
>lcl|NC_000913.3_cds_NP_416163.1_1668	110	175	0.628571429
>lcl|NC_000913.3_cds_NP_415569.4_1042	78	126	0.619047619
>lcl|NC_000913.3_cds_NP_415324.1_794	55	90	0.611111111
>lcl|NC_000913.3_cds_YP_588473.1_3783	42	69	0.608695652
>lcl|NC_000913.3_cds_YP_026161.1_1856	141	234	0.602564103
>lcl|NC_000913.3_cds_NP_415267.1_737	254	423	0.600472813
>lcl|NC_000913.3_cds_NP_417289.2_2805	46	77	0.597402597
>lcl|NC_000913.3_cds_NP_418483.1_4014	106	180	0.588888889
>lcl|NC_000913.3_cds_YP_026270.1_3811	100	173	0.578034682
>lcl|NC_000913.3_cds_NP_417776.1_3295	158	275	0.574545455
>lcl|NC_000913.3_cds_NP_416220.1_1726	37	65	0.569230769
>lcl|NC_000913.3_cds_NP_415432.1_903	54	96	0.5625
>lcl|NC_000913.3_cds_NP_418280.4_3810	51	91	0.56043956
>lcl|NC_000913.3_cds_YP_009518750.1_392	16	29	0.551724138
>lcl|NC_000913.3_cds_NP_416907.1_2423	182	330	0.551515152
>lcl|NC_000913.3_cds_NP_414659.1_117	339	619	0.547657512
>lcl|NC_000913.3_cds_NP_417578.2_3099	30	56	0.535714286
>lcl|NC_000913.3_cds_NP_415507.2_978	55	103	0.533980583
>lcl|NC_000913.3_cds_NP_416325.1_1834	32	61	0.524590164
>lcl|NC_000913.3_cds_NP_414564.1_23	46	89	0.516853933
>lcl|NC_000913.3_cds_NP_417509.3_3027	116	225	0.515555556
>lcl|NC_000913.3_cds_NP_415211.2_681	51	99	0.515151515
>lcl|NC_000913.3_cds_NP_415890.2_1381	576	1122	0.513368984
>lcl|NC_000913.3_cds_NP_417155.1_2671	69	136	0.507352941
>lcl|NC_000913.3_cds_NP_415602.1_1074	539	1063	0.507055503
>lcl|NC_000913.3_cds_NP_417222.1_2738	193	381	0.50656168
>lcl|NC_000913.3_cds_YP_588467.1_3269	37	74	0.5
>lcl|NC_000913.3_cds_NP_417011.1_2529	167	339	0.492625369
>lcl|NC_000913.3_cds_NP_417859.1_3378	66	135	0.488888889
>lcl|NC_000913.3_cds_501	16	33	0.484848485
>lcl|NC_000913.3_cds_YP_001165309.1_562	32	66	0.484848485
>lcl|NC_000913.3_cds_YP_009518773.1_1334	30	62	0.483870968
>lcl|NC_000913.3_cds_YP_009518813.1_2900	14	29	0.482758621
>lcl|NC_000913.3_cds_YP_588454.1_1564	38	79	0.481012658
>lcl|NC_000913.3_cds_NP_415166.1_639	175	364	0.480769231
>lcl|NC_000913.3_cds_NP_417598.1_3117	54	113	0.477876106
>lcl|NC_000913.3_cds_NP_415410.1_881	632	1331	0.474830954
>lcl|NC_000913.3_cds_NP_414918.4_383	51	108	0.472222222
>lcl|NC_000913.3_cds_NP_416450.2_1962	108	230	0.469565217
>lcl|NC_000913.3_cds_NP_415963.1_1458	37	79	0.46835443
>lcl|NC_000913.3_cds_YP_001491546.1_679	14	30	0.466666667
>lcl|NC_000913.3_cds_YP_009518817.1_3026	41	88	0.465909091
>lcl|NC_000913.3_cds_YP_001165332.1_3983	42	94	0.446808511
>lcl|NC_000913.3_cds_NP_416065.1_1562	143	322	0.444099379
>lcl|NC_000913.3_cds_536	33	75	0.44
>lcl|NC_000913.3_cds_YP_588437.1_296	21	48	0.4375
>lcl|NC_000913.3_cds_NP_417568.2_3089	54	124	0.435483871
>lcl|NC_000913.3_cds_NP_415004.1_470	48	111	0.432432432
>lcl|NC_000913.3_cds_NP_417067.1_2587	92	218	0.422018349
>lcl|NC_000913.3_cds_YP_009518752.1_484	30	72	0.416666667
>lcl|NC_000913.3_cds_NP_416227.1_1733	42	101	0.415841584
>lcl|NC_000913.3_cds_NP_417537.1_3058	30	73	0.410958904
>lcl|NC_000913.3_cds_NP_418595.1_4130	172	421	0.408551069
>lcl|NC_000913.3_cds_NP_417756.1_3275	53	131	0.404580153
>lcl|NC_000913.3_cds_NP_414738.1_197	55	136	0.404411765
>lcl|NC_000913.3_cds_NP_418593.1_4128	42	104	0.403846154
>lcl|NC_000913.3_cds_NP_416938.1_2454	86	215	0.4
>lcl|NC_000913.3_cds_NP_415595.1_1067	101	253	0.399209486
>lcl|NC_000913.3_cds_NP_415729.1_1209	144	362	0.397790055
>lcl|NC_000913.3_cds_NP_416707.4_2217	60	151	0.397350993
>lcl|NC_000913.3_cds_NP_417158.4_2674	44	111	0.396396396
>lcl|NC_000913.3_cds_NP_416146.1_1651	293	742	0.394878706
>lcl|NC_000913.3_cds_NP_415473.1_944	22	57	0.385964912
>lcl|NC_000913.3_cds_NP_415588.1_1060	54	140	0.385714286
>lcl|NC_000913.3_cds_NP_418676.1_4208	54	140	0.385714286
>lcl|NC_000913.3_cds_NP_417695.1_3215	64	167	0.383233533
>lcl|NC_000913.3_cds_NP_414783.1_248	31	81	0.382716049
