Gene	# disorder	gene size	disorder / size
YAL068C	0	121	0
YAL067W-A	0	76	0
YAL067C	2	594	0.00336700336700337
YAL065C	49	129	0.37984496124031
YAL064W-B	5	127	0.0393700787401575
YAL064C-A	0	127	0
YAL064W	0	95	0
YAL063C-A	0	97	0
YAL063C	753	1323	0.569160997732426
YAL062W	3	458	0.00655021834061135
YAL061W	49	418	0.117224880382775
YAL060W	7	383	0.0182767624020888
YAL059W	73	213	0.342723004694836
YAL058W	64	503	0.127236580516899
YAL056W	127	881	0.144154370034052
YAL055W	32	181	0.176795580110497
YAL054C	58	714	0.0812324929971989
YAL053W	119	784	0.151785714285714
YAL051W	163	1048	0.155534351145038
YAL049C	0	247	0
YAL048C	12	663	0.0180995475113122
YAL047C	169	623	0.271268057784912
YAL046C	20	119	0.168067226890756
YAL044W-A	13	111	0.117117117117117
YAL044C	34	171	0.198830409356725
YAL043C	159	786	0.202290076335878
YAL042W	35	416	0.0841346153846154
YAL041W	180	855	0.210526315789474
YAL040C	87	581	0.14974182444062
YAL039C	116	270	0.42962962962963
YAL038W	28	501	0.0558882235528942
YAL037C-A	0	31	0
YAL037W	0	268	0
YAL036C	1	370	0.0027027027027027
YAL035W	421	1003	0.419740777666999
YAL034W-A	24	290	0.0827586206896552
YAL034C	160	414	0.386473429951691
YAL033W	9	174	0.0517241379310345
YAL032C	212	380	0.557894736842105
YAL031C	266	761	0.349540078843627
YAL030W	24	118	0.203389830508475
YAL029C	62	1472	0.0421195652173913
YAL028W	277	529	0.523629489603025
YAL027W	15	262	0.0572519083969466
YAL026C	158	1356	0.116519174041298
YAL025C	131	307	0.42671009771987
YAL024C	567	1436	0.394846796657382
YAL023C	79	760	0.103947368421053
YAL022C	54	518	0.104247104247104
YAL021C	260	838	0.310262529832936
YAL020C	21	334	0.062874251497006
YAL019W	459	1132	0.40547703180212
YAL018C	11	326	0.0337423312883436
YAL017W	438	1357	0.32277081798084
YAL016W	34	636	0.0534591194968553
YAL015C	15	400	0.0375
YAL014C	74	256	0.2890625
YAL013W	181	406	0.445812807881773
YAL012W	25	395	0.0632911392405063
YAL011W	350	626	0.559105431309904
YAL010C	18	494	0.0364372469635627
YAL009W	42	260	0.161538461538462
YAL008W	4	199	0.0201005025125628
YAL007C	0	216	0
YAL005C	162	643	0.25194401244168
YAL003W	42	207	0.202898550724638
YAL002W	38	1275	0.0298039215686275
YAL001C	112	1161	0.0964685615848407
YAR002W	373	540	0.690740740740741
YAR002C-A	0	220	0
YAR003W	23	427	0.053864168618267
YAR007C	69	622	0.110932475884244
YAR008W	4	276	0.0144927536231884
YAR009C	301	1197	0.251461988304094
YAR010C	259	441	0.587301587301587
YAR014C	574	710	0.808450704225352
YAR015W	31	307	0.100977198697068
YAR018C	24	436	0.055045871559633
YAR019C	39	975	0.04
YAR020C	0	56	0
YAR023C	1	180	0.00555555555555556
YAR027W	18	236	0.076271186440678
YAR028W	28	235	0.119148936170213
YAR029W	17	75	0.226666666666667
YAR031W	22	299	0.0735785953177258
YAR033W	22	235	0.0936170212765957
YAR035W	65	688	0.0944767441860465
YAR035C-A	0	27	0
YAR042W	340	1189	0.285954583683768
YAR050W	996	1538	0.647594278283485
YAR064W	0	100	0
YAR066W	0	204	0
YAR068W	1	162	0.00617283950617284
YAR071W	2	468	0.00427350427350427
YBL113C	382	793	0.48171500630517
YBL112C	0	106	0
YBL111C	35	668	0.0523952095808383
YBL108C-A	0	43	0
YBL107C	26	197	0.131979695431472
YBL106C	69	1011	0.0682492581602374
YBL105C	372	1152	0.322916666666667
YBL104C	131	1039	0.126082771896054
YBL103C	349	487	0.716632443531828
YBL102W	16	216	0.0740740740740741
YBL101C	527	1118	0.471377459749553
YBL100W-C	0	40	0
YBL100W-B	407	1771	0.229813664596273
YBL100W-A	240	439	0.546697038724374
YBL099W	12	546	0.021978021978022
YBL098W	2	461	0.00433839479392625
YBL097W	293	755	0.388079470198676
YBL095W	6	271	0.022140221402214
YBL093C	121	221	0.547511312217195
YBL092W	40	131	0.305343511450382
YBL091C-A	13	176	0.0738636363636364
YBL091C	93	422	0.220379146919431
YBL090W	40	178	0.224719101123595
YBL089W	14	460	0.0304347826086957
YBL088C	16	2788	0.00573888091822095
YBL087C	2	138	0.0144927536231884
YBL086C	255	467	0.546038543897216
YBL085W	590	981	0.601427115188583
YBL084C	184	759	0.242424242424242
YBL082C	11	459	0.0239651416122004
YBL081W	282	369	0.764227642276423
YBL080C	5	542	0.00922509225092251
YBL079W	118	1503	0.0785096473719228
YBL078C	0	118	0
YBL076C	8	1073	0.00745573159366263
YBL075C	182	650	0.28
YBL074C	30	356	0.0842696629213483
YBL072C	72	201	0.358208955223881
YBL071C-B	0	33	0
YBL071W-A	5	83	0.0602409638554217
YBL071C	4	103	0.0388349514563107
YBL069W	2	430	0.00465116279069767
YBL068W	4	327	0.0122324159021407
YBL067C	227	748	0.303475935828877
YBL066C	528	1149	0.459530026109661
YBL064C	2	262	0.00763358778625954
YBL063W	210	1112	0.188848920863309
YBL061C	303	697	0.434720229555237
YBL060W	92	688	0.133720930232558
YBL059C-A	14	110	0.127272727272727
YBL059W	0	194	0
YBL058W	289	424	0.681603773584906
YBL057C	44	209	0.210526315789474
YBL056W	98	469	0.208955223880597
YBL055C	5	419	0.0119331742243437
YBL054W	410	526	0.779467680608365
YBL052C	219	832	0.263221153846154
YBL051C	465	669	0.695067264573991
YBL050W	6	293	0.0204778156996587
YBL049W	0	139	0
YBL048W	0	104	0
YBL047C	950	1382	0.687409551374819
YBL046W	246	442	0.556561085972851
YBL045C	13	458	0.0283842794759825
YBL044W	24	123	0.195121951219512
YBL043W	160	258	0.62015503875969
YBL042C	48	640	0.075
YBL041W	8	242	0.0330578512396694
YBL040C	0	220	0
YBL039W-B	3	60	0.05
YBL039C	7	580	0.0120689655172414
YBL038W	11	233	0.0472103004291846
YBL037W	43	1026	0.0419103313840156
YBL036C	6	258	0.0232558139534884
YBL035C	168	706	0.237960339943343
YBL034C	312	1514	0.206076618229855
YBL033C	62	346	0.179190751445087
YBL032W	96	382	0.25130890052356
YBL031W	302	339	0.890855457227139
YBL030C	13	319	0.0407523510971787
YBL029C-A	11	95	0.115789473684211
YBL029W	144	377	0.381962864721485
YBL028C	88	107	0.822429906542056
YBL027W	71	190	0.373684210526316
YBL026W	4	96	0.0416666666666667
YBL025W	3	146	0.0205479452054795
YBL024W	104	685	0.151824817518248
YBL023C	255	869	0.293440736478711
YBL022C	323	1134	0.284832451499118
YBL021C	50	145	0.344827586206897
YBL020W	6	575	0.0104347826086957
YBL019W	44	521	0.0844529750479846
YBL018C	0	134	0
YBL017C	100	1580	0.0632911392405063
YBL016W	24	354	0.0677966101694915
YBL015W	47	527	0.0891840607210626
YBL014C	159	895	0.177653631284916
YBL013W	28	402	0.0696517412935323
YBL011W	142	760	0.186842105263158
YBL010C	53	281	0.188612099644128
YBL009W	220	677	0.324963072378139
YBL008W-A	0	80	0
YBL008W	144	841	0.171224732461356
YBL007C	783	1245	0.628915662650602
YBL006C	29	181	0.160220994475138
YBL005W	97	977	0.0992835209825998
YBL005W-B	393	1756	0.22380410022779
YBL005W-A	261	441	0.591836734693878
YBL004W	50	2494	0.0200481154771451
YBL003C	28	133	0.210526315789474
YBL002W	43	132	0.325757575757576
YBL001C	5	105	0.0476190476190476
YBR001C	93	781	0.119078104993598
YBR002C	10	287	0.0348432055749129
YBR003W	54	474	0.113924050632911
YBR004C	0	434	0
YBR005W	106	214	0.495327102803738
YBR006W	0	498	0
YBR007C	461	737	0.62550881953867
YBR008C	50	549	0.0910746812386157
YBR009C	17	104	0.163461538461538
YBR010W	47	137	0.343065693430657
YBR011C	29	288	0.100694444444444
YBR012W-B	355	1757	0.202048947068867
YBR012W-A	258	441	0.585034013605442
YBR013C	0	130	0
YBR014C	55	204	0.269607843137255
YBR015C	13	598	0.0217391304347826
YBR016W	103	129	0.798449612403101
YBR017C	34	919	0.0369967355821545
YBR018C	19	367	0.0517711171662125
YBR019C	1	700	0.00142857142857143
YBR020W	0	529	0
YBR021W	0	634	0
YBR022W	0	178	0
YBR023C	168	1166	0.144082332761578
YBR024W	11	302	0.0364238410596026
YBR025C	11	395	0.0278481012658228
YBR026C	13	381	0.0341207349081365
YBR027C	0	111	0
YBR028C	75	526	0.142585551330798
YBR029C	21	458	0.0458515283842795
YBR030W	53	553	0.0958408679927667
YBR031W	81	363	0.223140495867769
YBR032W	0	101	0
YBR033W	194	920	0.210869565217391
YBR034C	26	349	0.0744985673352436
YBR035C	23	229	0.100436681222707
YBR036C	23	411	0.0559610705596107
YBR037C	18	296	0.0608108108108108
YBR038W	231	964	0.239626556016598
YBR039W	7	312	0.0224358974358974
YBR040W	0	299	0
YBR041W	6	670	0.00895522388059702
YBR042C	4	398	0.0100502512562814
YBR043C	132	690	0.191304347826087
YBR044C	20	573	0.0349040139616056
YBR045C	268	640	0.41875
YBR046C	0	335	0
YBR047W	1	176	0.00568181818181818
YBR048W	9	157	0.0573248407643312
YBR049C	535	811	0.659679408138101
YBR050C	97	339	0.286135693215339
YBR052C	0	211	0
YBR053C	10	359	0.0278551532033426
YBR054W	36	345	0.104347826086957
YBR055C	173	900	0.192222222222222
YBR056W	15	502	0.0298804780876494
YBR056W-A	0	67	0
YBR057C	196	367	0.534059945504087
YBR058C	111	782	0.141943734015345
YBR058C-A	0	81	0
YBR059C	709	1109	0.63931469792606
YBR060C	245	621	0.394524959742351
YBR061C	25	311	0.0803858520900322
YBR062C	41	181	0.226519337016575
YBR063C	13	405	0.0320987654320988
YBR065C	34	365	0.0931506849315069
YBR066C	80	221	0.361990950226244
YBR067C	65	211	0.308056872037915
YBR068C	55	610	0.0901639344262295
YBR069C	71	620	0.114516129032258
YBR070C	0	238	0
YBR071W	121	212	0.570754716981132
YBR072W	55	215	0.255813953488372
YBR072C-A	20	54	0.37037037037037
YBR073W	149	959	0.155370177267987
YBR074W	102	977	0.104401228249744
YBR076W	14	355	0.0394366197183099
YBR077C	10	163	0.0613496932515337
YBR078W	45	430	0.104651162790698
YBR079C	245	965	0.253886010362694
YBR080C	35	759	0.0461133069828722
YBR081C	518	1333	0.388597149287322
YBR082C	6	149	0.0402684563758389
YBR083W	158	487	0.324435318275154
YBR084W	48	976	0.0491803278688525
YBR084C-A	71	190	0.373684210526316
YBR085W	2	308	0.00649350649350649
YBR085C-A	1	86	0.0116279069767442
YBR086C	328	947	0.346356916578669
YBR087W	4	355	0.0112676056338028
YBR088C	0	259	0
YBR089C-A	82	100	0.82
YBR090C	14	123	0.113821138211382
YBR091C	1	110	0.00909090909090909
YBR092C	2	468	0.00427350427350427
YBR093C	2	468	0.00427350427350427
YBR094W	22	754	0.0291777188328912
YBR095C	146	431	0.338747099767981
YBR096W	0	231	0
YBR097W	57	1455	0.0391752577319588
YBR098W	197	692	0.284682080924855
YBR101C	24	291	0.0824742268041237
YBR102C	238	754	0.315649867374005
YBR103W	42	536	0.0783582089552239
YBR104W	33	330	0.1
YBR105C	88	363	0.242424242424242
YBR106W	31	189	0.164021164021164
YBR107C	0	246	0
